,date,EBF,ENT,GEN,POL
0,2016-08-01,-0.03643873403146422,-0.08401758358009431,-0.10848986028305006,-0.13484320375223266
1,2016-08-02,-0.06582217885540637,-0.0922015835374889,-0.12012155561602976,-0.0873271693556529
2,2016-08-03,-0.059474595281089976,-0.08483963662081144,-0.12754398073150736,-0.12332405055421267
3,2016-08-04,-0.0653017947783853,-0.0765343964411358,-0.1414539557204328,-0.09201216695752616
4,2016-08-05,-0.04845309584123576,-0.06255589931879355,-0.12751942749987644,-0.08548932459275678
5,2016-08-08,-0.049749809150367225,-0.0990895874972249,-0.09240559875822621,-0.07909697996988113
6,2016-08-09,-0.04525203958634864,-0.07353787545952654,-0.09897760139443935,-0.08996651035672783
7,2016-08-10,-0.07540189014678035,-0.08512167735725407,-0.1495042567615482,-0.10745345163759004
8,2016-08-11,-0.038983423038507284,-0.07447738929806118,-0.14419466619792223,-0.1549205059078678
9,2016-08-12,-0.06324198087564813,-0.11691562217311002,-0.14632556998766347,-0.15156353295862893
10,2016-08-15,-0.031491773653739084,-0.0975437873512399,-0.14834603551151987,-0.12743661513367127
11,2016-08-16,-0.01327345416103018,-0.07389205366088779,-0.11765964027058254,-0.11631373448750978
12,2016-08-17,-0.07654837460356005,-0.08860213738452229,-0.13958624691860574,-0.14430048681709462
13,2016-08-18,-0.047280150324526544,-0.09533929662534692,-0.11732557063898558,-0.15399917085491813
14,2016-08-19,-0.0925339529341137,-0.06551026264975418,-0.0948281105786021,-0.16475849117084249
15,2016-08-22,-0.026848427470204144,-0.07792213618169994,-0.1408474572491922,-0.10208194978963749
16,2016-08-23,0.017998411326022045,-0.08980248642724432,-0.17173554046971887,-0.12300890852160082
17,2016-08-24,-0.09125151305450056,-0.1203487647703665,-0.1408911237473412,-0.12066211176090803
18,2016-08-25,-0.10332600546292792,-0.09378739469530976,-0.1449414844169586,-0.16872447065658647
19,2016-08-26,-0.06397766741207862,-0.08531203019399061,-0.11706921689744507,-0.10670391257320132
20,2016-08-29,-0.07527117451084216,-0.08739002799385753,-0.11435185400206227,-0.13409542544223602
21,2016-08-30,-0.06278090931906724,-0.11226076477595294,-0.12073438120394075,-0.13499482168178809
22,2016-08-31,-0.0454682338936456,-0.07478501772038577,-0.12294407077006513,-0.12873107497222147
