,date,EBF,ENT,GEN,POL
0,2019-03-01,-0.13717945032223433,-0.12193803875534623,-0.15011202774937252,-0.14390421313060037
1,2019-03-04,-0.08358452975348972,-0.11393765082204677,-0.15189207509271244,-0.15995607961348549
2,2019-03-05,-0.11054685130070208,-0.0776499006070124,-0.1392814567698224,-0.20394679115026665
3,2019-03-06,-0.13780322941558468,-0.09099122067089882,-0.1604516134445908,-0.17910269897781375
4,2019-03-07,-0.1433861110252262,-0.09793281290071583,-0.19134581388938982,-0.1383646110334008
5,2019-03-08,-0.21026253701889258,-0.07638543638470979,-0.18142508832594847,-0.1750214343231297
6,2019-03-11,-0.06781685542811153,-0.12506138341463852,-0.12052118562794269,-0.1264705094894867
7,2019-03-12,-0.10008046799550378,-0.13149600845580825,-0.17463279424744002,-0.187073574706595
8,2019-03-13,-0.16421254606644525,-0.11445934217772447,-0.21510658135729624,-0.27131428188559686
9,2019-03-14,-0.15525845540333982,-0.12481372184719484,-0.17062609762777073,-0.1751002807146575
10,2019-03-15,-0.10238041401114376,-0.10000666323572854,-0.1739761662372635,-0.1598929158460937
11,2019-03-18,-0.10007500083213719,-0.125649032458041,-0.1694989490586875,-0.16799509643184904
12,2019-03-19,-0.06777266816721819,-0.08365384332361633,-0.16517451863312996,-0.13944816520527462
13,2019-03-20,-0.11650887362802258,-0.06581644775420802,-0.1259140136866776,-0.17611642771840844
14,2019-03-21,-0.10986367222968556,-0.12045672274954872,-0.17598041131507947,-0.17014993890394678
15,2019-03-22,-0.1861233744729796,-0.10257271931297024,-0.1530146850875748,-0.10778344154501981
16,2019-03-25,-0.14577521496769164,-0.0903838633205614,-0.16549207229755167,-0.12117249172414765
17,2019-03-26,-0.05982059202930432,-0.08586952013643079,-0.1732543404345875,-0.18500641459045378
18,2019-03-27,-0.15016467441733217,-0.07916006354543452,-0.17472581585562255,-0.12744898115471007
19,2019-03-28,-0.1577462174915098,-0.12473698772944546,-0.20696871197978212,-0.17612634683134099
20,2019-03-29,-0.05329599968379126,-0.13783021858591285,-0.1624779564242712,-0.11730350520222159
21,2019-04-01,-0.2068372063292998,-0.0887467156772472,-0.14978224174542862,-0.2501135332571964
