,date,EBF,ENT,GEN,POL
0,2018-12-03,-0.06589661925537672,-0.09842671966450939,-0.1278226330985255,-0.09708534663641685
1,2018-12-04,-0.062368582492040116,-0.11701403912611125,-0.16677002065762064,-0.2088812051038143
2,2018-12-05,-0.11978855030018902,-0.11256984604888387,-0.1426951154063343,-0.11905574039002825
3,2018-12-06,-0.15893594481978038,-0.07222334315604849,-0.16408739498767413,-0.14324029761037843
4,2018-12-07,-0.1706703129646918,-0.11099060929077086,-0.13313857768164536,-0.19030649467047467
5,2018-12-10,-0.17126760990330026,-0.13057166923842542,-0.17803939734292715,-0.19419330820307465
6,2018-12-11,-0.08897493514348581,-0.11715884347183582,-0.16488036804602038,-0.1819568430697213
7,2018-12-12,-0.045843809244896824,-0.07710657544222611,-0.16415909455553684,-0.142346584500329
8,2018-12-13,-0.09064780773131931,-0.11284353114114543,-0.15593855632987713,-0.24927760003495733
9,2018-12-14,-0.202583165496404,-0.12729061934222388,-0.21650387136494956,-0.22826689560775107
10,2018-12-17,-0.12488906678667255,-0.1269739049296461,-0.14493905382643218,-0.21286208456943906
11,2018-12-18,-0.15298407187711605,-0.10387584944950157,-0.14419476724619035,-0.214696893426642
12,2018-12-19,-0.11124617581393707,-0.08957308289863898,-0.18557082328592878,-0.2367741962417196
13,2018-12-20,-0.18135738907905932,-0.12205625720256447,-0.16152373553820318,-0.25719940324717344
14,2018-12-21,-0.17527940755531632,-0.06806719365811396,-0.1843405164063278,-0.26976164853328777
15,2018-12-24,-0.206873485308021,-0.140019114843534,-0.22138061746954918,-0.28123653080257305
16,2018-12-25,-0.18807423814931618,-0.06073721435842747,-0.23377570191025734,-0.09749968322192101
17,2018-12-26,-0.18809694846289302,-0.07416495604642717,-0.14362341341263843,-0.27826925232699234
18,2018-12-27,-0.15348492680147055,-0.08746082849562341,-0.1948570630202691,-0.22832359663126142
19,2018-12-28,-0.16014482099703992,-0.10028746672056464,-0.15638265631262785,-0.2664214651710514
20,2018-12-31,-0.12442738631455953,-0.11864404272288084,-0.17411891588353012,-0.24669698604434986
