,date,EBF,ENT,GEN,POL
0,2017-10-02,-0.05675423843044497,-0.07891598874042537,-0.13844544779004306,-0.10407954878186389
1,2017-10-03,0.008876589109961124,-0.09580495833299256,-0.12469471153323945,-0.15561826061815598
2,2017-10-04,-0.01167846975943497,-0.06037404214674125,-0.11094328418469311,-0.14951590971472475
3,2017-10-05,-0.0029691854243280706,-0.07847662228047975,-0.10372561122994406,-0.10764355295347972
4,2017-10-06,-0.08172236686663881,-0.09558869882671517,-0.12954189771428667,-0.15965865610499236
5,2017-10-09,-0.06526527978967617,-0.12626390591921174,-0.13569678471841706,-0.07602494909330403
6,2017-10-10,0.02981152047834878,-0.1327432669663372,-0.16031566690182006,-0.15883281937038357
7,2017-10-11,0.00827527301557058,-0.10766057966460733,-0.12181718508966513,-0.09701588367092974
8,2017-10-12,-0.007854787788316936,-0.12178701901057915,-0.12398176162105883,-0.14249063080857438
9,2017-10-13,-0.01238880426584122,-0.13649796326303112,-0.11269889187632486,-0.12576149101985037
10,2017-10-16,-0.05872231389174459,-0.14314456986824042,-0.15568868336495617,-0.10110565788220681
11,2017-10-17,0.028456467009551137,-0.12491221983251385,-0.1807719860409557,-0.11301819666066679
12,2017-10-18,-0.004617695916596914,-0.10098566961155821,-0.15025632159336458,-0.1421478139758431
13,2017-10-19,-0.00713667354438194,-0.09932716632766765,-0.10828724375117899,-0.09910823853833299
14,2017-10-20,0.0033491538980832468,-0.08185365361409758,-0.16364203420774648,-0.1620764506359895
15,2017-10-23,-0.00477763633607267,-0.12094172110871765,-0.11428557953350427,-0.08614657544683962
16,2017-10-24,0.03391526442788103,-0.11999778612641329,-0.11157352047206219,-0.12685252373715436
17,2017-10-25,0.017444761211460352,-0.07514238331874984,-0.1371781172137952,-0.08856321244277585
18,2017-10-26,-0.021612443146835875,-0.11216054444450839,-0.1121563681533181,-0.14167703828042924
19,2017-10-27,0.033518211961084586,-0.11764949445577125,-0.17813052231920093,-0.1740316902997635
20,2017-10-30,-0.01917638712151442,-0.12545526355666958,-0.24579406991753233,-0.15009263708649317
21,2017-10-31,0.0015331212725294265,-0.11526064831507055,-0.23877169452015223,-0.16565868064390088
