,date,EBF,ENT,GEN,POL
0,2018-05-01,-0.022257583518095952,-0.10789086038653867,-0.18126762006193017,-0.1944431713211157
1,2018-05-02,-0.05491574175047631,-0.13671844529581595,-0.16590229538547183,-0.17271958046238606
2,2018-05-03,-0.06363858686976621,-0.12891410844420773,-0.17703541648531942,-0.2222923528826372
3,2018-05-04,-0.029274009209804643,-0.10990152696703935,-0.13062447316287484,-0.16918992148194875
4,2018-05-07,-0.02722200297727852,-0.07669278004147911,-0.1368807940623005,-0.14219422428196496
5,2018-05-08,-0.10354894773212112,-0.08134531017662172,-0.15642781790985646,-0.1289443032097394
6,2018-05-09,-0.07347672502972549,-0.12391316469664834,-0.12568820324724292,-0.1224866597153758
7,2018-05-10,-0.11872658355401773,-0.09759415526809292,-0.1260512769561121,-0.1633109890816497
8,2018-05-11,-0.091486679187497,-0.10182813541355316,-0.17150663476466588,-0.2174547004289717
9,2018-05-14,-0.06075730725997201,-0.09355392816698525,-0.16003018711646,-0.15901480907519366
10,2018-05-15,-0.09967636752410333,-0.11159990743088252,-0.20339052312337758,-0.10002513540017864
11,2018-05-16,-0.01125801780292762,-0.12480774767375982,-0.19555494520013075,-0.13940670250931048
12,2018-05-17,-0.01806115174516179,-0.11381632803099305,-0.2061329554000908,-0.12258304718933585
13,2018-05-18,-0.09840883338286109,-0.10742444678443981,-0.21063318667959766,-0.1937724367605262
14,2018-05-21,-0.05938925004473067,-0.05563946447637356,-0.19834845290268394,-0.0720136652366026
15,2018-05-22,-0.045266080567879334,-0.11141496559042328,-0.2024968635373223,-0.1694005007389933
16,2018-05-23,-0.07956477666718303,-0.10669666870836184,-0.20818630898619692,-0.161363725387213
17,2018-05-24,-0.1075140920789862,-0.11314164491361617,-0.22904516799633015,-0.17511512030588897
18,2018-05-25,-0.11340979510288336,-0.10670606109559003,-0.2325351192446595,-0.20646935094672458
19,2018-05-28,-0.09047800258868052,-0.10193895492905183,-0.1763663287824712,-0.12521757599380282
20,2018-05-29,-0.15409054898208802,-0.1486425921566,-0.27759847663843834,-0.1960311725223437
21,2018-05-30,-0.06507924078600089,-0.13844156988437545,-0.23815338094523889,-0.17754909036417318
22,2018-05-31,-0.10319045551355757,-0.12480650695303343,-0.19534500876664004,-0.25853842652920217
