,date,topic_-1,topic_116,topic_130,topic_157,topic_169,topic_185,topic_188,topic_203,topic_208,topic_216,topic_220,topic_226,topic_245,topic_255,topic_256,topic_264,topic_287,topic_29,topic_304,topic_306,topic_310,topic_312,topic_33,topic_38,topic_61,topic_76,topic_8,topic_82,topic_94,topic_98
0,2018-01-01,-0.11246174633029908,,,,,,,,,,,,,,,,,,,,,,-0.05759412174423536,,,,,,,
1,2018-01-02,-0.06632482991384792,-0.9607323314994574,,,,,,,,0.7965694256126881,0.012298164889216423,,0.8597103580832481,,,0.0503554567694664,,0.15205338969826698,,,,,-0.9453265275806189,0.8491527810692787,,-0.34344238725801307,-0.6202682889997959,,0.8783784694969654,
2,2018-01-03,0.015106521428142693,0.2538846433162689,,,,,,,,,0.0699175875633955,,0.8516933508217335,,,0.03362676687538624,,0.3477791976183653,,,,-0.9444353515282273,0.9040185809135437,0.631255179643631,-0.0106634721159935,0.6013798890635371,0.07846249733120203,,0.6648857978483041,
3,2018-01-04,0.013744292556365797,0.8281598426401615,,0.022313686087727547,0.2771734185516834,0.07106604054570198,,,0.09546999633312225,-0.14645948447287083,0.01624542847275734,,,,0.061669960618019104,,,-0.33906874407760124,-0.9199061375111341,,0.8897048961371183,0.009168287739157677,-0.020093816332519054,-0.08646915170053641,0.15278577711433172,0.8595305103808641,-0.4685571077637948,,-0.2727643001824617,-0.2755274176597595
4,2018-01-05,0.00581311114053701,,,,,,,,0.07638188451528549,0.763686403632164,0.010697692632675171,,0.8554640393704176,,,,,0.12787908843408027,-0.035137683153152466,,,,-0.166887276340276,-0.04340532794594765,-0.0474575012922287,-0.18314135074615479,0.06891814060509205,,-0.5646011338103563,
5,2018-01-08,0.0066216687996188085,,,,,,,,,0.6168991550803185,,,0.15627041272819042,,,,,0.3704573114713033,-0.015335135161876678,,,,0.18794511398300529,-0.26672769407741725,-0.49142208881676197,,0.5190990349277854,,-0.957820251584053,-0.7614011038094759
6,2018-01-09,0.05417621199286984,0.23583389073610306,,,,,,,0.10719291493296623,,0.12622153759002686,,-0.9589882497675717,,,,,0.13986354181542993,,,,,0.44169867783784866,0.6170542041460673,-0.46682122349739075,0.8240778259932995,0.13053203895688056,,0.3817075466116269,0.4815071156869332
7,2018-01-10,-0.02508592261145024,0.8279472328722477,-0.9184055887162685,0.5952570736408234,0.05190018564462662,0.03027287870645523,,,0.08035065233707428,,,,,,,,,0.1707122971614202,,,,,0.023584048574169476,-0.9411124329393109,-0.45526187121868134,,-0.21706518530845642,0.09308246476575732,-0.5938489533960819,
8,2018-01-11,-0.010887836523312508,,,,,,,,,0.814780630171299,-0.20559437945485115,,,,,,,-0.4117490582090492,,,,,-0.560118063663443,0.7892897622659802,0.4065384045243263,0.21335893869400024,-0.3575454291754535,0.013424783945083618,0.36293557605573107,0.4838313227519393
9,2018-01-12,-0.046511190235271435,,,,,,,,,0.7949616890400648,,-0.7576365023851395,0.838756151497364,,,,,-0.37652477420245606,,0.5773421823978424,0.8912402093410492,,0.7578255943953991,-0.03864276657501856,-0.6088700533534089,0.14043591916561127,-0.26834013211456215,,0.7600543287893137,0.533597988076508
10,2018-01-15,-0.01766777680352042,-0.9471955066546798,,,0.38010417856276035,,,,0.17057045921683311,,,,,,,,,-0.9249164406210184,0.20943992212414742,,,,0.015442180136839548,0.3938935920596123,,-0.31247397884726524,-0.3768638428300619,,0.6955691538751125,-0.6695324600053331
11,2018-01-16,-0.00549313285286338,-0.384750082778434,,,0.5141187887638807,,,,0.06263505294919014,-0.9236376695334911,0.010723600164055824,,,,-0.07902098633348942,,,0.6860091285780072,,,,,0.8123185085132718,0.21788684278726578,-0.10585329681634903,-0.8586963526904583,0.09064327459782362,0.19202666589990258,-0.9604778657667339,-0.5267813224345446
12,2018-01-17,-0.013252998311560921,-0.9540275847539306,,,0.4992982428520918,,,-0.005299866199493408,,,,-0.7967923916876316,-0.9378468152135611,,,,,0.34058758337050676,,,,,0.10258374363183975,0.6842231675982475,-0.18418057036719152,-0.13397145457565784,-0.4694517198950052,,0.2720462477041615,
13,2018-01-18,0.011189941137684388,-0.9447164554148912,-0.573150334879756,,,0.0499621257185936,,,,-0.9372011013329029,-0.3060309924185276,,0.9148835130035877,,,,,0.045436576940119267,,,,,0.7075430875023206,-0.6414829151084026,0.40768421068787575,0.8796925563365221,-0.5426081130281091,0.05606733122840524,-0.9547767853364348,-0.4670110587030649
14,2018-01-19,-0.07332317711001164,-0.9499966409057379,,,0.10579212289303541,,0.6810718402266502,,,,,0.03225971385836601,,,-0.7538739535957575,,,-0.48812590027228,-0.02520286664366722,,,,-0.19381166761741042,0.8643103130161762,0.10253569856286049,0.26168834418058395,-0.33645747490227224,,-0.03931452582279841,
15,2018-01-22,-0.009281696498111268,,-0.9433636255562305,,,0.16708337515592575,,,,0.08456188626587391,,,,-0.9531406555324793,-0.2699449434876442,,-0.009059929806325171,-0.11609062179923058,,,0.8368087336421013,-0.853156914934516,-0.016509514302015305,-0.10470097341264288,-0.9107518205419183,0.03987299674190581,-0.4283225568684025,,0.009147102944552898,-0.767092315107584
