,date,topic_106,topic_116,topic_119,topic_123,topic_142,topic_150,topic_159,topic_160,topic_169,topic_177,topic_182,topic_22,topic_222,topic_237,topic_3,topic_35,topic_41,topic_43,topic_48,topic_49,topic_53,topic_6,topic_63,topic_67,topic_69,topic_74,topic_76,topic_78,topic_96,topic_99
0,2019-01-01,,,0.8222655751742423,,,,,,,,,,,,,,,0.04333176463842392,,,,,,,,-0.7339579984545708,-0.15418260172009468,,,
1,2019-01-02,,,,,,-0.09431609604507685,,,,,,,,,,-0.9559983278159052,-0.7055445499718189,,-0.8231970020569861,,,-0.20335227778802314,-0.5270977695472538,,,,-0.2518208436667919,,,
2,2019-01-03,,,,,,,,,,,,-0.07116220891475677,,,,,0.08266919106245041,-0.6668982170522213,,,,-0.8314515321981162,-0.8508379997122878,,,0.08963928557932377,-0.020997322164475918,,-0.006241884082555771,
3,2019-01-04,,,,-0.6621542465873063,-0.10417765378952026,,,,,-0.9622554462403059,,-0.5872844826662913,,,,-0.12076165992766619,,-0.15106847882270813,0.9054733142256737,-0.9647234182339162,,-0.12013004366308451,-0.9539525001309812,,,,,,,
4,2019-01-07,0.1952247340232134,,0.13508556596934795,,-0.7795784678310156,0.5535273347049952,,0.7433867426589131,,,,,,0.15478688571602106,,,,-0.06459799408912659,,0.907977151684463,-0.2215089648962021,0.0844566485999773,-0.8904939144849777,0.01930966041982174,,0.39580289274454117,-0.01781084295362234,,-0.9382579503580928,
5,2019-01-08,,,,,,,,,,-0.8701973706483841,,-0.04485900793224573,,,-0.7704100273549557,,-0.9334556479007006,-0.07931817136704922,-0.5298986043781042,,,0.4232280352152884,-0.26413808825115365,,,,,,,
6,2019-01-09,,,,-0.058591095730662346,0.1764015524337689,,,,,,,,,,,,,0.07874653078615665,,,,-0.22043595214684805,-0.8137431557988748,,,-0.1373279830440879,,,,
7,2019-01-10,0.09835851052775979,,,-0.6796748135238886,,,0.024014070630073547,0.0019329274073243141,,-0.935109281912446,,-0.6468711572233588,,,,,-0.5569500084966421,-0.1923987427726388,,,,-0.35816620111775893,-0.9492045221850276,,-0.9638440599665046,,,,,
8,2019-01-11,,,,,,,,,,-0.954841423779726,,0.019375678384676576,,,,-0.9324200265109539,-0.127805362145106,,,-0.06342149758711457,,-0.7926960056647658,,,,-0.1426608656765893,-0.05539642181247473,,,
9,2019-01-14,0.008252747356891632,,-0.17621466889977455,-0.2575354059226811,-0.05183984028796355,,,,,,,,,,-0.9235089849680662,-0.14031233778223395,-0.876919480971992,-0.06999063165858388,,,,-0.5585638110836347,-0.9376201406121254,,,-0.07525080237537622,,,,
