,date,topic_-1,topic_116,topic_130,topic_157,topic_169,topic_185,topic_188,topic_203,topic_208,topic_216,topic_220,topic_226,topic_245,topic_255,topic_256,topic_264,topic_287,topic_29,topic_304,topic_306,topic_310,topic_312,topic_33,topic_38,topic_61,topic_76,topic_8,topic_82,topic_94,topic_98
0,2019-01-01,-0.1689869132079184,,,,,,,,,,,,,,,,,0.630947451107204,,,,,-0.9119622157886624,,,,,,,
1,2019-01-02,-0.18629225159236967,,,-0.8975934418849647,,,,,,-0.9354259464889765,,,0.8889528969302773,,,,,0.9182626437395811,,,-0.5556107759475708,,0.292246975004673,0.04542173879841963,-0.9574967212975025,,,0.42670244071632624,-0.9585289596579969,
2,2019-01-03,-0.2107581165581336,,,,,,,,,,,,0.9014448374509811,,,,,,,,,,-0.936680503655225,-0.8541846722364426,-0.9054105575196445,,0.42635321663692594,0.03431655404468378,-0.9479585336521268,
3,2019-01-04,-0.24776284944280033,0.07562795281410217,,,,,,,,,,,0.10362971946597099,,,,,0.07849088497459888,,,,,-0.8637183858081698,0.026055466383695602,0.13878755768140158,,,0.6684521585702896,0.32444711960852146,
4,2019-01-07,-0.058695918284243934,,,,,,,,,,,,-0.03162296488881111,,0.5656189993023872,,-0.0025686140482624373,-0.20678583843012652,,,,,0.5237662810832262,0.3001097723841667,-0.7853778870776296,,-0.5237529147416353,-0.18060873821377754,-0.5613339422270656,-0.7859323173761368
5,2019-01-08,-0.08304540520471261,,,,,,,,,0.15981663018465042,,,0.8659654445946217,,0.11786033523579438,,,-0.5849725045263767,0.8774744505062699,,,,,0.6969961684197188,0.7111468501389027,,-0.7058444339782,0.04540259577333927,0.07092888280749321,
6,2019-01-09,-0.1010218495837762,,,,,,,,,,,,0.7295479476451874,,,,,-0.1665356084704399,,,,0.3311630114912987,0.896189805585891,0.26063881379862625,0.8908467926084995,,0.39129968732595444,0.021217666566371918,0.3904829090461135,
7,2019-01-10,-0.12861551617711606,,0.14928796887397766,,,,,,,,,,-0.7087865173816681,,,,-0.010378492064774036,0.13210322447121142,,,,,-0.9460258856415749,-0.6751317450155815,,,-0.00801132619380951,,-0.4210022194311023,
8,2019-01-11,-0.10612900420176712,,,-0.8197792209684849,0.8327324548736215,,,,,,,,0.8934424184262753,,,,,-0.7928622690960765,,,,,-0.614493653178215,-0.7423170395195484,-0.7666789591312408,,-0.39355839788913727,,-0.5097679806252321,
9,2019-01-14,-0.15677839257153595,,,-0.931394531391561,,,,,,-0.5729359164834023,,,,,,,,0.14291982911527157,,,,,0.03066303301602602,-0.2255071397870779,-0.3613620833493769,-0.9300140592580041,0.1997075021887819,,-0.39744697976857424,
10,2019-01-15,-0.10410746970467445,,,,,,,,,,,,,,,,,-0.6685656685382128,,,,,-0.16931932667891184,0.7286737589165568,-0.7274449374526739,,-0.05437499284744263,,-0.017658705823123455,
11,2019-01-16,-0.1244388235950827,-0.9448034139350057,,,,,,,,0.803131215274334,,,-0.1214468376711011,,,,0.042341141030192375,,,0.909230925142765,,,0.7115140841342509,0.1469917044043541,-0.9183338563889265,-0.8119099959731102,-0.38116736139636487,,0.24202932231128216,
12,2019-01-17,-0.15864005866052894,,,,0.27695735543966293,,0.011914093047380447,,,-0.6932640373706818,,,,,,,,0.03744699042290449,,,,,0.36243000300601125,0.17742957174777985,-0.9519362756982446,,-0.449646855172302,,-0.9559269376719991,
13,2019-01-18,-0.05851152304349442,,,,,,,,,0.7728677541017532,,,0.5073837898671627,,,,,,,,,,-0.09082243265584111,,,-0.05956884101033211,-0.6780973579734564,-0.029967589303851128,0.7956881150603294,
14,2019-01-21,-0.10375314136203244,0.7719879969954491,,,,,-0.8852499388158321,0.20187024492770433,,,,,0.888012420386076,,,,-0.009134269785135984,0.05271662771701813,,-0.9601309169083834,,,0.13747747726738452,,,,0.19599834829568863,,-0.33504303451627493,-0.03958293329924345
15,2019-01-22,-0.14736934569165377,-0.15571072697639465,,,,,-0.5027049779891968,,,-0.5408841967582703,,0.08204804981748264,,,,,,0.34630307741463184,,,,,-0.9441300840117037,-0.7841012990102172,-0.9460292886942625,-0.8251892849802971,-0.12355989341934522,,-0.8953744027142724,-0.6469298675656319
16,2019-01-23,-0.08770998054266481,-0.9547149436548352,,,0.720315613783896,,0.13010597229003906,,,,0.3471384367439896,,0.874745175242424,,,,,-0.49855436384677887,,,-0.9565741512924433,,0.12973751096675792,-0.49923017621040344,,-0.9527977532707155,0.3317188136279583,,0.899288467441996,
