,date,topic_106,topic_116,topic_119,topic_123,topic_142,topic_150,topic_159,topic_160,topic_169,topic_177,topic_182,topic_22,topic_222,topic_237,topic_3,topic_35,topic_41,topic_43,topic_48,topic_49,topic_53,topic_6,topic_63,topic_67,topic_69,topic_74,topic_76,topic_78,topic_96,topic_99
0,2016-01-01,,,,,,,,,,,,,,-0.005843718885444105,,,,0.07471665553748608,,,,,,,,,,,,
1,2016-01-04,,,,,0.05991737560058633,-0.24172870675101876,,,,-0.9582955120131373,-0.459178757853806,-0.20637692557647824,,,0.020438242238014936,-0.7661963507998735,,0.0822663705330342,-0.959232073277235,-0.571731637387226,,-0.9350619956385344,-0.9650958189740777,,,0.21751911751925945,-0.059296466410160065,,,
2,2016-01-05,0.11071023251861334,-0.1903948811814189,,,,,,0.03290824871510267,,,,-0.3550989022478461,,0.13191385194659233,-0.041160703636705875,-0.17481816932559013,0.060943301767110825,,-0.40688296500593424,0.7813680097460747,,-0.731821039536347,-0.7430595211917534,0.08263359940610826,,,,,,
3,2016-01-06,,,-0.9568543899804354,,0.011483102571219206,,0.07292762538418174,,,-0.8860470913350582,,-0.3431811712216586,,-0.020239674486219883,-0.05550056486390531,-0.9620357160456479,,-0.2259687683545053,-0.9571991730481386,-0.9659369420260191,-0.5900135189294815,-0.6897543052909896,-0.8043476008654883,0.08587320661172271,-0.9559320490807295,,,,,
4,2016-01-07,-0.11213536125918229,0.8435204699635506,-0.7419397812336683,,0.021157411858439445,,,,,,,-0.3730061592068523,,,0.07978015838307329,,,0.034910205751657486,-0.9585834226571024,-0.8917618989944458,-0.936885338742286,-0.7821965684803823,-0.5372224806600975,0.10634002590086311,-0.9652591833146289,,-0.7490045335143805,,,
5,2016-01-08,,,-0.8333372202701866,0.04009256884455681,0.04716854100115597,,,0.07631609216332436,,,,-0.6918462110916153,,,-0.13913927016048028,-0.2516935432019333,,-0.07492087967693806,-0.9438982531428337,0.3036205470561981,,-0.4923049783683382,-0.7694112304598093,0.02290393691509962,-0.962247468996793,-0.02807166427373886,,,0.23948419652879238,0.24246891401708126
6,2016-01-11,0.06079534022137523,,,,0.02744095236994326,,,,,,-0.2561049936339259,-0.1683422999922186,,,-0.026189082108127575,,,0.06979168858379126,0.926995100453496,,,-0.8900439718738198,-0.6221383030836781,-0.07653929246589541,,0.03778441995382309,-0.1265421397984028,,0.9207203350961208,
7,2016-01-12,,0.05878945253789425,,,,,,,,,,-0.3341778861358762,,0.44715524511411786,-0.09763248171657324,-0.13269931077957153,0.02464175596833229,0.13364483881741762,,,0.1886200960725546,-0.8458398633326093,,,,,-0.008227713406085968,,-0.9522374719381332,
8,2016-01-13,,,-0.6603455357253551,,,,,-0.3588453368283808,,,0.19450361281633377,-0.2541522681713104,,,-0.2596784180495888,0.37679608166217804,,,,0.06797553785145283,,-0.8695802819981638,,,-0.9538467065431178,,,,,
9,2016-01-14,-0.010238029062747955,0.8351008575409651,,,,,,,,,-0.1681440705433488,-0.3553846140081684,,0.044071086682379246,-0.05178319398934642,-0.9526701448485255,-0.372869536280632,0.004889287985861301,-0.7596099768610051,,-0.8963520936667919,-0.5511807078340402,,-0.2658771127462387,-0.9041486345231533,,-0.8045291863381863,,,
