,date,topic_106,topic_116,topic_119,topic_123,topic_142,topic_150,topic_159,topic_160,topic_177,topic_182,topic_22,topic_222,topic_237,topic_3,topic_35,topic_41,topic_43,topic_48,topic_49,topic_53,topic_6,topic_63,topic_67,topic_69,topic_74,topic_76,topic_78,topic_96,topic_99
0,2018-01-01,-0.010308307013474405,,,,,,,,,,,,,,,,0.4709523255005479,,,-0.9439481468871236,,,,,-0.050112754106521606,,,,
1,2018-01-02,0.3834718461148441,,-0.7932986593805254,-0.03441845439374447,,,,,,,0.13431196473538876,,,-0.26926338515477255,-0.7544384184293449,-0.8347128182649612,,-0.9615256055258214,,,-0.8331784033216536,-0.4900351769756526,-0.2212673919275403,0.35742056369781494,,,0.06642709858715534,,
2,2018-01-03,,,,,,,,-0.00864590099081397,,,-0.009363498451421037,,,-0.12019983524805866,0.9118628790602088,0.0065985918045043945,-0.8304550983011723,-0.18686820939183235,,,0.18583448577140058,-0.8017307706177235,,0.9051576368510723,-0.04257356375455856,-0.040557194501161575,,,0.12402098160237074
3,2018-01-04,-0.06397688501913633,0.1417676778510213,,,-0.2636462915688753,,,,0.02644684910774231,,-0.061887082061730325,,,-0.13263021828606725,0.6356010911986232,,-0.03283475525677204,-0.01120585948228836,0.9111518999561667,,-0.9079148103483021,,0.05084176594391465,-0.5977794099599123,,,0.12022512638941407,-0.035644910065457225,0.15191724244505167
4,2018-01-05,,,,-0.49221264384686947,,,,-0.10831740126013756,0.6415626555681229,,-0.14374868798768148,0.0859796260483563,,0.03235732867116375,,,,,0.4236755343154073,,-0.4529341231100261,,,,-0.23210529362161955,,0.04792799544520676,,
5,2018-01-08,0.07756255349765222,0.18805010337382555,-0.6930156527087092,,0.0201246808283031,-0.8463726043701172,,,,,-0.018945342861115932,,,-0.44835343956947327,,-0.5492796472584208,-0.27132907230407,,,,0.14737913881738982,-0.048483842983841896,0.02028828455756108,,-0.06995139108039439,,,,0.12373573938384652
6,2018-01-09,0.0379831250756979,,,-0.4519547061063349,,,0.032040650956332684,-0.013222991256043315,-0.05244312155991793,,-0.07091244185964267,,0.10300643276423216,0.8127088323235512,0.9112477544695139,-0.6543208910152316,0.1754341854248196,,0.7571780756115913,,-0.27978224648783606,,,-0.8050657212734222,-0.0988919697701931,,,0.48585502663627267,0.4904273464344442
7,2018-01-10,-0.035477895056828856,0.08664033934473991,0.0144655741751194,-0.22949567064642906,,,,,,,0.09874908300116658,,,,,-0.7369811034295708,-0.07487205695360899,-0.020840691402554512,,-0.26047148276120424,-0.3665966653265059,-0.27006574161350727,-0.4438905664719641,-0.9554206258617342,-0.3262331858277321,,0.20617462554946542,,-0.1302679575358828
8,2018-01-11,0.04089201707392931,,,-0.12329730740748346,0.14943871088325977,,,-0.22072697803378105,0.10953006148338318,,-0.21273753163404763,0.08664978481829166,0.11628354247659445,,-0.4367927620187402,,-0.099565289914608,-0.934474827721715,,0.5026646703481674,-0.3319273926317692,,,-0.8760469444096088,0.10210089758038521,,0.069380272179842,,
9,2018-01-12,,,0.12287267670035362,-0.7786120441742241,,,,,-0.9382213782519102,,-0.09346973896026611,0.1847598496824503,,,0.3793365880846977,,-0.0380609929561615,,-0.6766644529998302,,-0.1465054933602611,,,-0.7446297369897366,-0.027585788164287806,,0.2632581233046949,,
10,2018-01-15,,,,-0.10476771742105484,,,,,,,,,,,-0.9574599787592888,0.07873026002198458,-0.5391870215535164,-0.16162838181480765,0.7847081422805786,,0.1223130882717669,,,0.9149098759517074,0.09193057287484407,-0.24176900554448366,0.06040696520358324,,
11,2018-01-16,0.050313957035541534,0.7132275709882379,,-0.19681383669376373,,,,,-0.6373443901538849,-0.6739713186398149,-0.16714729585995278,,,-0.2547031535456578,,,,-0.8817645739763975,0.2252884446643293,,-0.20628944677965982,,0.041452194874485336,-0.9591732081025839,0.05755353346467018,,0.00509734358638525,,0.4212994333356619
12,2018-01-17,0.007403528783470392,,0.22103393077850342,-0.1642317627556622,,,,,,-0.37824757024645805,-0.4113772811833769,0.02828024886548519,,,,,-0.35780417546629906,-0.9600483123213053,,,-0.2869681485462934,-0.09691902273334563,,-0.037796901538968086,0.056721821427345276,-0.000865589827299118,0.09366942383348942,,0.3401190023869276
13,2018-01-18,,,,,0.0863431841135025,-0.9122472032904625,,0.0927416579797864,,,0.010642739944159985,0.037853692658245564,,0.7144521757339438,-0.05360115459188819,0.6883076503872871,,-0.9538808013312519,,,-0.5526603353209794,,-0.6692110411822796,,-0.0703636488566796,-0.016428139992058277,0.039045984856784344,-0.3032756745815277,0.2864577506358425
