,date,Topic_105,Topic_118,Topic_132,Topic_134,Topic_136,Topic_14,Topic_150,Topic_154,Topic_159,Topic_168,Topic_170,Topic_197,Topic_205,Topic_207,Topic_216,Topic_225,Topic_232,Topic_24,Topic_250,Topic_252,Topic_267,Topic_280,Topic_285,Topic_29,Topic_36,Topic_42,Topic_50,Topic_51,Topic_62,Topic_74,EBF
0,2017-01-02,,0.4,0.0,,0.0,-0.5,,-1.0,0.0,-0.5454545454545454,-0.3333333333333333,0.5,-0.6666666666666666,-0.5,0.0,0.0,-0.16666666666666666,0.0,0.0,-0.4,,0.0,0.0,0.0,-0.14285714285714285,-0.1111111111111111,,-0.5,0.0,-0.2222222222222222,-0.20990680100755668
1,2017-01-03,,-0.14285714285714285,-0.3333333333333333,-1.0,,-0.2,-0.6666666666666666,-0.6153846153846154,0.0,-0.16666666666666666,0.25,-0.2222222222222222,-0.07142857142857142,0.0,0.3,0.0,0.15,0.2,0.0,-0.2857142857142857,,-0.25,0.13333333333333333,-0.2,-0.16666666666666666,0.0,-0.75,-0.5,-0.25,-0.125,-0.08737272727272727
2,2017-01-04,,-0.1,0.0,0.0,0.0,-0.1111111111111111,-1.0,-0.25,0.0,-0.2857142857142857,0.0,-0.06666666666666667,-0.36363636363636365,0.0,0.0,1.0,-0.09090909090909091,0.0,-0.5,-0.42857142857142855,,0.5,-0.29411764705882354,-0.25,-0.3333333333333333,-0.25,0.0,-0.3333333333333333,-1.0,0.0,-0.12639281288723667
3,2017-01-05,,0.0,-1.0,-1.0,,0.0,-0.4,0.14285714285714285,0.0,-0.2,0.0,-0.18181818181818182,-0.1,-0.1111111111111111,-0.25,-0.6666666666666666,-0.18181818181818182,0.0,-0.11764705882352941,-0.6666363636363637,0.0,-0.5,0.02857142857142857,-0.25,-0.2,0.0,0.0,-0.5,0.2,0.0,-0.13729988331388565
4,2017-01-06,,-0.2222222222222222,-0.2,0.0,0.0,0.0,-0.6666666666666666,0.0,0.5,-0.2857142857142857,0.07692307692307693,0.0,-0.5,-0.5,0.25,-0.6,0.2,-0.4444444444444444,0.0,-0.6666666666666666,0.0,-1.0,-0.1111111111111111,,-0.5,-0.14285714285714285,0.3333333333333333,,-0.14285714285714285,0.0,-0.15891343669250646
5,2017-01-09,,0.05555555555555555,-0.6666666666666666,0.0,-1.0,-0.15553333333333336,0.0,0.11764705882352941,-0.4,0.05555555555555555,-0.10526315789473684,0.08333333333333333,-0.4166666666666667,0.16666666666666666,0.16666666666666666,-0.14285714285714285,0.03571428571428571,-0.2857142857142857,0.25,-0.5,,-0.42857142857142855,-0.21739130434782608,0.0,-0.08325,-0.35,-0.125,0.0,-0.3333333333333333,-0.3076923076923077,-0.13954110738255032
6,2017-01-10,,0.0,0.0,0.0,,-0.25,-0.541625,0.0,0.2,-0.2,0.0,0.13333333333333333,-0.1875,-0.8,0.2222222222222222,0.4,-0.18181818181818182,0.0,-0.1,-0.2857142857142857,,-0.25,-0.13793103448275862,-0.125,-1.0,-0.16666666666666666,-0.25,,-0.25,-0.3076923076923077,-0.13340702947845806
7,2017-01-11,0.0,-0.3333333333333333,0.0,0.0,,0.25,0.0,-0.16666666666666666,-0.4,-0.375,-0.3333333333333333,0.0,0.0,0.5,-0.1,-0.25,0.0,0.0,-0.18181818181818182,-0.38092857142857145,0.0,0.16666666666666666,0.0,-0.5,-0.75,-0.09090909090909091,0.0,0.0,-0.44449999999999995,-0.18181818181818182,-0.12379935965848453
8,2017-01-12,,-0.09523809523809523,-0.5,0.0,,-0.25,-0.4,-0.08,0.0,-0.16666666666666666,-0.025615384615384616,-0.46153846153846156,0.08333333333333333,-0.375,-0.2857142857142857,-0.4,-0.16,-0.1,-0.16666666666666666,-0.45,0.0,0.25,-0.047619047619047616,0.0,-0.7036666666666667,-0.15384615384615385,0.0,0.0,-0.3076923076923077,0.034482758620689655,-0.1462723091076357
9,2017-01-13,-1.0,0.0,0.0,-1.0,,0.25,-0.13340000000000002,0.0,-0.3333333333333333,-0.25,0.0,-0.6666666666666666,-0.1111111111111111,-0.42857142857142855,-0.25,-0.5,-0.07142857142857142,-0.3333333333333333,-0.25,-0.25,0.0,-0.25,-0.07692307692307693,-0.111,0.0,0.09090909090909091,0.25,0.0,-0.1111111111111111,-0.3,-0.11930592503022974
