,date,topic_106,topic_116,topic_119,topic_123,topic_142,topic_150,topic_159,topic_160,topic_169,topic_177,topic_182,topic_22,topic_222,topic_237,topic_3,topic_35,topic_41,topic_43,topic_48,topic_49,topic_53,topic_6,topic_63,topic_67,topic_69,topic_74,topic_76,topic_78,topic_96,topic_99,EBF,time_trend,adjclose,returns,year,month
0,2016-01-04,0.0,0.0,0.0,0.0,0.0599173756005863,-0.2417287067510187,0.0,0.0,0.0,-0.9582955120131372,-0.459178757853806,-0.2063769255764782,0.0,0.0,0.0204382422380149,-0.7661963507998735,0.0,0.0822663705330342,-0.959232073277235,-0.571731637387226,0.0,-0.9350619956385344,-0.9650958189740776,0.0,0.0,0.2175191175192594,-0.05929646641016,0.0,0.0,0.0,-0.2831512240147614,0,2012.6600341796875,,2016,1
1,2016-01-05,0.1107102325186133,-0.1903948811814189,0.0,0.0,0.0,0.0,0.0,0.0329082487151026,0.0,0.0,0.0,-0.3550989022478461,0.0,0.1319138519465923,-0.0411607036367058,-0.1748181693255901,0.0609433017671108,0.0,-0.4068829650059342,0.7813680097460747,0.0,-0.731821039536347,-0.7430595211917534,0.0826335994061082,0.0,0.0,0.0,0.0,0.0,0.0,-0.2677464337789069,1,2016.7099609375,0.0020122259542273,2016,1
2,2016-01-06,0.0,0.0,-0.9568543899804354,0.0,0.0114831025712192,0.0,0.0729276253841817,0.0,0.0,-0.8860470913350582,0.0,-0.3431811712216586,0.0,-0.0202396744862198,-0.0555005648639053,-0.962035716045648,0.0,-0.2259687683545053,-0.9571991730481386,-0.9659369420260192,-0.5900135189294815,-0.6897543052909896,-0.8043476008654883,0.0858732066117227,-0.9559320490807296,0.0,0.0,0.0,0.0,0.0,-0.2900044139733389,2,1990.260009765625,-0.0131153967026469,2016,1
3,2016-01-07,-0.1121353612591822,0.8435204699635506,-0.7419397812336683,0.0,0.0211574118584394,0.0,0.0,0.0,0.0,0.0,0.0,-0.3730061592068523,0.0,0.0,0.0797801583830732,0.0,0.0,0.0349102057516574,-0.9585834226571024,-0.8917618989944458,-0.936885338742286,-0.7821965684803823,-0.5372224806600975,0.1063400259008631,-0.9652591833146288,0.0,-0.7490045335143805,0.0,0.0,0.0,-0.3052018448516213,3,1943.0899658203125,-0.0237004430144116,2016,1
4,2016-01-08,0.0,0.0,-0.8333372202701866,0.0400925688445568,0.0471685410011559,0.0,0.0,0.0763160921633243,0.0,0.0,0.0,-0.6918462110916153,0.0,0.0,-0.1391392701604802,-0.2516935432019333,0.0,-0.074920879676938,-0.9438982531428336,0.3036205470561981,0.0,-0.4923049783683382,-0.7694112304598093,0.0229039369150996,-0.962247468996793,-0.0280716642737388,0.0,0.0,0.2394841965287923,0.2424689140170812,-0.3064244777555934,4,1922.030029296875,-0.0108383743902185,2016,1
5,2016-01-11,0.0607953402213752,0.0,0.0,0.0,0.0274409523699432,0.0,0.0,0.0,0.0,0.0,-0.2561049936339259,-0.1683422999922186,0.0,0.0,-0.0261890821081275,0.0,0.0,0.0697916885837912,0.926995100453496,0.0,0.0,-0.8900439718738198,-0.6221383030836781,-0.0765392924658954,0.0,0.037784419953823,-0.1265421397984028,0.0,0.9207203350961208,0.0,-0.2303325804751261,5,1923.6700439453125,0.0008532721255335,2016,1
6,2016-01-12,0.0,0.0587894525378942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3341778861358762,0.0,0.4471552451141178,-0.0976324817165732,-0.1326993107795715,0.0246417559683322,0.1336448388174176,0.0,0.0,0.1886200960725546,-0.8458398633326093,0.0,0.0,0.0,0.0,-0.0082277134060859,0.0,-0.9522374719381332,0.0,-0.1806737542219838,6,1938.6800537109373,0.0078027985167562,2016,1
7,2016-01-13,0.0,0.0,-0.6603455357253551,0.0,0.0,0.0,0.0,-0.3588453368283808,0.0,0.0,0.1945036128163337,-0.2541522681713104,0.0,0.0,-0.2596784180495888,0.376796081662178,0.0,0.0,0.0,0.0679755378514528,0.0,-0.8695802819981638,0.0,0.0,-0.9538467065431178,0.0,0.0,0.0,0.0,0.0,-0.1818191248833265,7,1890.280029296875,-0.0249654523042197,2016,1
8,2016-01-14,-0.0102380290627479,0.8351008575409651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1681440705433488,-0.3553846140081684,0.0,0.0440710866823792,-0.0517831939893464,-0.9526701448485256,-0.372869536280632,0.0048892879858613,-0.7596099768610051,0.0,-0.8963520936667919,-0.5511807078340402,0.0,-0.2658771127462387,-0.9041486345231532,0.0,-0.8045291863381863,0.0,0.0,0.0,-0.235891868491173,8,1921.8399658203125,0.0166959053866621,2016,1
9,2016-01-15,0.0,0.0,-0.4826890854164958,0.0513603687286376,0.0,0.9050642587244512,0.0,0.0,0.0,-0.8964564949274063,0.0,-0.4638187813106924,0.0,0.1019617989659309,0.1161500211746897,-0.965478059835732,0.0,-0.0787706701084971,-0.0208393554203212,-0.9522304935380816,0.0,-0.3862800342030823,-0.958647278137505,-0.6647000815719366,-0.9617157790344208,0.0476743606850504,0.0059419348835945,0.0,0.0,0.0,-0.3025589092859495,9,1880.3299560546875,-0.02159909800185,2016,1
10,2016-01-19,0.0,0.0783233409747481,-0.2798027582466602,0.0,0.10701978742145,-0.0711592053994536,0.0,0.0,0.0,0.0,-0.2467961311340332,-0.3233516099862754,0.0,0.0,-0.1356604712083935,-0.61728242225945,0.0,-0.1385309277102351,0.8871516101062298,-0.8731589913368225,-0.8592697754502296,-0.6422817200073041,-0.3108159601688385,0.0,0.0,-0.1987271513789892,-0.2614025026559829,0.0,-0.3956212936900556,0.0,-0.2237049413995598,10,1881.3299560546875,0.0005318215543926,2016,1
11,2016-01-20,0.0,0.0,0.1569170504808426,0.0,-0.1326602101325988,0.0,0.0,0.0068746395409107,-0.0228522233664989,-0.8836547434329987,0.0,-0.4314570466522127,0.0,0.0037978515028953,0.0360613890613118,-0.9433572854846716,-0.9496905425330624,-0.228924901690334,0.0,-0.9604971976950764,0.0,-0.9503665049560368,-0.9238823745399714,0.0299717597663402,-0.9616428297013044,-0.0003741108812391,0.0037145316600799,0.0,0.0,0.0,-0.2611834252472649,11,1859.3299560546875,-0.0116938551524135,2016,1
