,date,topic_-1,topic_116,topic_130,topic_157,topic_169,topic_185,topic_188,topic_203,topic_208,topic_216,topic_220,topic_226,topic_245,topic_255,topic_256,topic_264,topic_287,topic_29,topic_304,topic_306,topic_310,topic_312,topic_33,topic_38,topic_61,topic_76,topic_8,topic_82,topic_94,topic_98,EBF,time_trend,adjclose,returns,year,month
0,2016-01-04,-0.1683471427613133,-0.932032423093915,0.0,0.0,0.063860788475722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0707867890596389,0.0,-0.4550123643130064,0.0,0.0,-0.924298654620846,-0.454158629477024,0.0,-0.458953904453665,-0.698707421310246,0.3935967031866312,-0.9573194095864892,0.0,-0.1174569814012445,0,2012.6600341796875,,2016,1
1,2016-01-05,-0.1053704025408385,-0.0526196062564849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.831194344907999,0.8207262232899666,0.0,0.0,0.9151985757052898,0.0,-0.1396228829398751,0.0,0.0,0.0,-0.8020552464295179,-0.0279328674077987,-0.2408517425258954,-0.8137041106820107,0.6981522012501955,-0.6347104815766216,0.0,0.0,0.0,-0.0807984022989122,1,2016.7099609375,0.0020122259542273,2016,1
2,2016-01-06,-0.1691499262328655,-0.9297873470932244,0.0,-0.9596602967940272,0.0,0.0,0.0,0.0,0.0,-0.9566154265776275,0.0573986209928989,0.0,-0.9412305895239116,0.0,0.0,0.0,0.0,-0.9614541502669454,0.0,0.0,0.0,0.0,-0.5056332321837544,-0.9316185396164656,-0.9474531495943666,-0.9451328089926392,0.0262925780067841,0.0,-0.9589604400098324,0.0,-0.162062838387814,2,1990.260009765625,-0.0131153967026469,2016,1
3,2016-01-07,-0.2073540179708384,-0.9425400830805302,0.0,-0.9630301492288708,0.0,0.0,0.0,-0.4585872748866677,0.0,0.0,0.0043588727712631,0.0,0.0,-0.9531284496188164,0.0,0.0,0.0,-0.4335671284102967,0.0,0.0,0.0,0.0,-0.1015414139255881,-0.3481810710703333,-0.9586290223523974,-0.955365794710815,-0.7957188235595822,0.0,-0.2026985546573996,0.0,-0.166541039473876,3,1943.0899658203125,-0.0237004430144116,2016,1
4,2016-01-08,-0.1267118226997666,-0.960802816785872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.936394060961902,-0.7865273430943489,0.1606342396698892,0.7610844150185585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9359826017171144,0.0,0.0,0.2508009495213628,-0.3313129693269729,-0.9092673254199326,-0.2818448115140199,0.0,-0.1737610505272944,0.0,-0.1285751125507723,4,1922.030029296875,-0.0108383743902185,2016,1
5,2016-01-11,-0.0889053980701183,0.0929592847824096,0.0,-0.8539633974432945,0.0,0.0,0.0,0.0,0.0,-0.9422861374914646,0.0,0.0,0.7791199386119843,0.0,-0.3707878217101097,0.0,0.0,0.4132701507769525,0.0,0.0,-0.8998222574591637,0.0,-0.0517650571418926,-0.3152069648727774,-0.855653238715604,0.0885190848881999,-0.110661267535761,0.0,-0.3028949992731213,0.0,-0.0849880307115532,5,1923.6700439453125,0.0008532721255335,2016,1
6,2016-01-12,-0.00257156557417,0.6638936400413513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7850254774093628,0.0,0.0,0.1344005549326539,0.0,0.0,0.0,0.0,0.2790138067988058,0.0,0.0,0.815040335059166,0.0,-0.9626081362366676,0.3904269218910485,0.1987542510032653,0.3824164217337966,-0.3300912034076949,0.0,-0.5786009808070958,-0.1093292124569416,0.0021986659158463,6,1938.6800537109373,0.0078027985167562,2016,1
7,2016-01-13,-0.0452426825411235,0.0,0.0,0.0030629802495241,0.0,0.0,0.0613005943596363,0.0,0.0,-0.925341097638011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5157785629853606,0.0,0.0,-0.2966166734695434,0.0,-0.9144561421126128,-0.9382227424066514,0.0,0.2823884810010592,-0.4551616640140613,-0.1927108292778333,-0.9595256107859312,0.5626272981365522,-0.0509551141661806,7,1890.280029296875,-0.0249654523042197,2016,1
8,2016-01-14,-0.0647975383519542,-0.9202563033128778,0.3435559868812561,0.0,0.0,0.0,0.0,0.0,0.0,0.5794195383787155,0.2235427908599376,0.0,-0.802294410765171,0.8377224169671535,0.0,0.0,0.0,0.1711010829146419,-0.0143205113708972,0.0,-0.919199712574482,0.0,-0.8473097907844931,0.6570253844062487,0.362901983782649,-0.7893567327409983,-0.7628621051294936,-0.0172962099313735,0.7330632141480843,0.0,-0.0905078138481369,8,1921.8399658203125,0.0166959053866621,2016,1
9,2016-01-15,-0.1354998422526198,-0.9585404302924873,0.0,0.0,0.8692546682432294,0.0,0.0271232584491372,0.0,0.0,0.0,0.0,0.0,0.0,0.505137674510479,0.0,0.0,0.0,-0.938738533606132,0.0,0.0,0.0,0.0,-0.5561621338129044,-0.740680860588327,-0.9086092468351126,-0.6313708063680679,-0.7533585941419005,0.0,-0.9599295994266868,0.0,-0.1339519577896236,9,1880.3299560546875,-0.02159909800185,2016,1
10,2016-01-19,-0.0680054936401203,-0.2702149720862508,0.0,-0.9369968756412468,0.0,0.0,0.0,0.0,0.1573413722217083,0.0,0.0,-0.5818133968859911,-0.926591856405139,0.0,0.0,0.0,-0.0058855339884757,0.0938223339617252,0.0,0.0,0.0,0.0,0.0628229351714253,0.8175680500765642,0.2476446628570556,0.4010654091835022,-0.8450009468942881,-0.4146580761298537,-0.952757252380252,0.0,-0.0794970139690406,10,1881.3299560546875,0.0005318215543926,2016,1
11,2016-01-20,-0.1302513159276481,0.0,0.0,-0.6919757208476464,0.0,0.0,0.0,0.0,0.0,0.0,-0.1758167706429958,0.0,-0.9553409647196532,0.0,0.0,0.0,0.0,-0.517268798003594,0.0,-0.9454708341509104,0.0,0.0,-0.2590847628191113,-0.6818601967146,-0.5163385099731386,-0.9572621031353872,-0.5526257306337357,0.0,-0.9554972904734312,0.0,-0.1397600132486146,11,1859.3299560546875,-0.0116938551524135,2016,1
